year,city,avg_temp
1958,Baltimore,11.34
1959,Baltimore,13.06
1960,Baltimore,11.78
1961,Baltimore,12.11
1962,Baltimore,11.61
1963,Baltimore,11.58
1964,Baltimore,12.33
1965,Baltimore,12.18
1966,Baltimore,11.89
1967,Baltimore,11.60
1968,Baltimore,12.15
1969,Baltimore,11.98
1970,Baltimore,12.29
1971,Baltimore,12.43
1972,Baltimore,11.89
1973,Baltimore,13.04
1974,Baltimore,12.51
1975,Baltimore,12.67
1976,Baltimore,11.85
1977,Baltimore,12.34
1978,Baltimore,11.56
1979,Baltimore,11.88
1980,Baltimore,12.22
1981,Baltimore,12.00
1982,Baltimore,12.16
1983,Baltimore,12.48
1984,Baltimore,12.42
1985,Baltimore,12.79
1986,Baltimore,12.65
1987,Baltimore,12.78
1988,Baltimore,12.14
1989,Baltimore,11.92
1990,Baltimore,13.75
1991,Baltimore,13.76
1992,Baltimore,11.96
1993,Baltimore,12.39
1994,Baltimore,12.46
1995,Baltimore,12.55
1996,Baltimore,11.85
1997,Baltimore,12.36
1998,Baltimore,14.07
1999,Baltimore,13.19
2000,Baltimore,12.28
2001,Baltimore,12.99
2002,Baltimore,13.46
2003,Baltimore,12.07
2004,Baltimore,12.79
2005,Baltimore,12.82
2006,Baltimore,13.59
2007,Baltimore,13.13
2008,Baltimore,12.76
2009,Baltimore,12.44
2010,Baltimore,13.28
2011,Baltimore,13.56
2012,Baltimore,14.00
2013,Baltimore,14.19
1750,global,8.72
1751,global,7.98
1752,global,5.78
1753,global,8.39
1754,global,8.47
1755,global,8.36
1756,global,8.85
1757,global,9.02
1758,global,6.74
1759,global,7.99
1760,global,7.19
1761,global,8.77
1762,global,8.61
1763,global,7.50
1764,global,8.40
1765,global,8.25
1766,global,8.41
1767,global,8.22
1768,global,6.78
1769,global,7.69
1770,global,7.69
1771,global,7.85
1772,global,8.19
1773,global,8.22
1774,global,8.77
1775,global,9.18
1776,global,8.30
1777,global,8.26
1778,global,8.54
1779,global,8.98
1780,global,9.43
1781,global,8.10
1782,global,7.90
1783,global,7.68
1784,global,7.86
1785,global,7.36
1786,global,8.26
1787,global,8.03
1788,global,8.45
1789,global,8.33
1790,global,7.98
1791,global,8.23
1792,global,8.09
1793,global,8.23
1794,global,8.53
1795,global,8.35
1796,global,8.27
1797,global,8.51
1798,global,8.67
1799,global,8.51
1800,global,8.48
1801,global,8.59
1802,global,8.58
1803,global,8.50
1804,global,8.84
1805,global,8.56
1806,global,8.43
1807,global,8.28
1808,global,7.63
1809,global,7.08
